target_id,molecule_id,score,is_positive,is_decoy,score_direction,source_checksum,provenance_ref
DRD2,drd2_positive_001,,True,False,higher_is_better,,
DRD2,drd2_positive_002,,True,False,higher_is_better,,
DRD2,drd2_positive_003,,True,False,higher_is_better,,
DRD2,drd2_positive_004,,True,False,higher_is_better,,
DRD2,drd2_decoy_001,,False,True,higher_is_better,,
DRD2,drd2_decoy_002,,False,True,higher_is_better,,
DRD2,drd2_decoy_003,,False,True,higher_is_better,,
DRD2,drd2_decoy_004,,False,True,higher_is_better,,
DRD2,drd2_decoy_005,,False,True,higher_is_better,,
DRD2,drd2_decoy_006,,False,True,higher_is_better,,
DRD2,drd2_decoy_007,,False,True,higher_is_better,,
DRD2,drd2_decoy_008,,False,True,higher_is_better,,
DRD2,drd2_decoy_009,,False,True,higher_is_better,,
DRD2,drd2_decoy_010,,False,True,higher_is_better,,
DRD2,drd2_decoy_011,,False,True,higher_is_better,,
DRD2,drd2_decoy_012,,False,True,higher_is_better,,
DRD2,drd2_decoy_013,,False,True,higher_is_better,,
DRD2,drd2_decoy_014,,False,True,higher_is_better,,
DRD2,drd2_decoy_015,,False,True,higher_is_better,,
DRD2,drd2_decoy_016,,False,True,higher_is_better,,
DRD2,drd2_decoy_017,,False,True,higher_is_better,,
DRD2,drd2_decoy_018,,False,True,higher_is_better,,
DRD2,drd2_decoy_019,,False,True,higher_is_better,,
DRD2,drd2_decoy_020,,False,True,higher_is_better,,
HTR2A,htr2a_positive_001,,True,False,higher_is_better,,
HTR2A,htr2a_positive_002,,True,False,higher_is_better,,
HTR2A,htr2a_positive_003,,True,False,higher_is_better,,
HTR2A,htr2a_positive_004,,True,False,higher_is_better,,
HTR2A,htr2a_decoy_001,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_002,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_003,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_004,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_005,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_006,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_007,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_008,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_009,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_010,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_011,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_012,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_013,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_014,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_015,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_016,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_017,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_018,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_019,,False,True,higher_is_better,,
HTR2A,htr2a_decoy_020,,False,True,higher_is_better,,
OPRM1,oprm1_positive_001,,True,False,higher_is_better,,
OPRM1,oprm1_positive_002,,True,False,higher_is_better,,
OPRM1,oprm1_positive_003,,True,False,higher_is_better,,
OPRM1,oprm1_positive_004,,True,False,higher_is_better,,
OPRM1,oprm1_decoy_001,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_002,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_003,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_004,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_005,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_006,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_007,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_008,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_009,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_010,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_011,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_012,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_013,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_014,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_015,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_016,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_017,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_018,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_019,,False,True,higher_is_better,,
OPRM1,oprm1_decoy_020,,False,True,higher_is_better,,
